Date,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_log_price,telecommunication_Open,telecommunication_High,telecommunication_Low,telecommunication_Close,telecommunication_Adj Close,telecommunication_Volume,telecommunication_log_return,telecommunication_realized_volatility,min_1k_count,pessimistic_doubtful,angry,fearful_concerned,euphoric_excited,bearish,bullish,happy,sad,mistrustful,positive,annoyed_frustrated,optimistic,negative,1m_rv,1w_rv,1y_rv,2w_rv,3m_rv,6m_rv,active_count
2018-07-18,7310.71,7599.98,7239.15,7374.88,13347.87638,8.905834909889203,51.59000015258789,51.599998474121094,51.22999954223633,51.400001525878906,48.795040130615234,147800,-0.0029139935155004,0.5320737720717363,1656,225.0,61.0,193.0,402.0,379.0,906.0,150.0,28.0,21.0,2848.0,12.0,1173.0,3279.0,67.390749818321,70.7747899365215,104.223773575226,65.3731064126439,61.6924427914157,94.3898556375666,770646
2018-07-19,7384.92,7570.9,7278.84,7471.42,8803.253097,8.91884035376951,51.43000030517578,51.470001220703125,51.00600051879883,51.040000915527344,48.45329666137695,258400,-0.007028545173497,0.5165220890452074,1656,238.0,60.0,207.0,339.0,306.0,630.0,98.0,26.0,27.0,2401.0,8.0,1151.0,3109.0,66.6473782291706,64.2176186871275,104.154288135372,65.1168260594354,61.5586269921346,94.2764496427834,636735
2018-07-20,7474.35,7696.88,7265.0,7330.84,9379.171432,8.899845385859239,51.04999923706055,51.18600082397461,50.84000015258789,50.869998931884766,48.29190826416016,158400,-0.0033363191362663,0.5124078878432831,1647,224.0,67.0,214.0,279.0,370.0,704.0,96.0,32.0,22.0,2297.0,12.0,1103.0,3171.0,66.5122216398288,63.6666970463144,103.610650361907,64.7959551012011,61.3170257430392,93.4619560240653,651798
2018-07-23,7393.5,7800.0,7369.86,7719.62,12572.45317,8.951520419009412,50.93000030517578,51.099998474121094,50.650001525878906,51.08000183105469,48.49127197265625,94800,0.0041197291734249,0.5120829031280683,1640,248.0,69.0,176.0,348.0,339.0,732.0,105.0,16.0,18.0,2439.0,20.0,1052.0,2997.0,59.5229387214262,65.9390211248735,102.844331716143,65.2529761323016,60.9621581414414,91.661001053262,711244
2018-07-24,7712.46,8496.96,7691.14,8403.83,18707.41156,9.036442833297656,52.11000061035156,52.11000061035156,51.15999984741211,51.439998626708984,48.83301544189453,211200,0.0070229862212745,0.4486488684258699,1638,318.0,82.0,260.0,479.0,469.0,1090.0,171.0,27.0,24.0,3292.0,15.0,1394.0,4132.0,60.359557791499,63.428236635704,102.948035948623,62.6197455153294,61.1610486092443,91.7491124872187,718783
2018-07-25,8394.48,8475.0,8049.22,8174.06,10348.06858,9.008721004444723,51.529998779296875,51.875,51.380001068115234,51.810001373291016,49.18427276611328,604300,0.007167154100574,0.4571708315112632,1637,271.0,79.0,251.0,386.0,329.0,776.0,134.0,41.0,27.0,2691.0,10.0,1294.0,3719.0,60.6445029454891,46.5576526155355,102.802319153698,60.1551187814471,61.1136838597691,91.7139496735154,776373
2018-07-26,8174.06,8314.23,7855.97,7926.0,8091.87166,8.97790377375038,49.75,50.02000045776367,49.56999969482422,49.85599899291992,47.329307556152344,833400,-0.0384443772844833,0.6568599409381864,1640,228.0,63.0,213.0,342.0,249.0,588.0,115.0,34.0,26.0,2411.0,15.0,1273.0,3306.0,60.6918399437886,47.7317017562632,102.62776544156,57.2872016319898,60.3516117283578,91.6094056849922,639884
2018-07-27,7926.0,8274.98,7798.48,8183.05,8701.765878,9.009820220737238,49.77000045776367,49.83000183105469,48.63800048828125,48.90999984741211,46.431243896484375,1111200,-0.019156958617009,0.688529608409743,1639,246.0,84.0,230.0,318.0,266.0,583.0,120.0,23.0,22.0,2170.0,12.0,1073.0,3132.0,61.461150448072,55.3135755268434,102.632528760381,61.0009393216351,60.0313009232706,91.5461241899452,717386
2018-07-30,8216.74,8295.0,7853.01,8160.21,11785.89208,9.007025182921124,49.02000045776367,49.02000045776367,47.86899948120117,48.13999938964844,45.70026779174805,251300,-0.0158684517552489,0.7168105184366893,1641,236.0,60.0,212.0,307.0,267.0,565.0,92.0,28.0,27.0,2115.0,9.0,1082.0,3041.0,55.3662593906626,54.3303590384293,102.42343437847,62.0103308317244,60.0003468482511,90.9712935188688,636111
2018-07-31,8162.28,8162.37,7633.67,7725.43,11994.08614,8.952272763647215,48.369998931884766,48.77000045776367,48.13999938964844,48.459999084472656,46.004051208496094,1211400,0.0066252768196979,0.7173601052742569,1640,250.0,51.0,229.0,281.0,359.0,540.0,125.0,30.0,21.0,2273.0,10.0,1163.0,3239.0,55.9899339577456,48.1459840622588,102.428991183676,61.0055024740202,59.977484172406,90.4740780143547,689933
2018-08-01,7726.85,7761.56,7440.0,7602.01,11406.76844,8.936167964991633,48.560001373291016,48.77899932861328,48.11899948120117,48.2599983215332,45.814186096191406,1250400,-0.0041356710787292,0.7023138170393856,1639,220.0,56.0,205.0,288.0,419.0,472.0,141.0,22.0,26.0,2147.0,9.0,1071.0,3103.0,58.9553805781038,48.8498722402031,102.492384835172,53.9586795283328,60.3984501759816,90.104686998651,705701
2018-08-02,7600.22,7709.98,7455.0,7536.37,5262.236132,8.927495912715491,48.09000015258789,48.65999984741211,47.900001525878906,48.58000183105469,46.11796188354492,190700,0.0066089358483423,0.6810913945218907,1639,254.0,59.0,217.0,312.0,315.0,423.0,101.0,23.0,20.0,2136.0,12.0,1166.0,3295.0,58.5251880935238,48.6998106430331,102.446419828132,53.892083112206,60.3445544502417,88.4565462172721,633985
2018-08-03,7535.0,7542.92,7286.41,7416.98,9585.779309,8.9115272452249,48.09000015258789,48.93000030517578,48.09000015258789,48.90999984741211,46.431243896484375,117200,0.0067699101659379,0.6573545917427476,1636,254.0,103.0,231.0,412.0,348.0,554.0,94.0,33.0,35.0,2351.0,13.0,1106.0,3538.0,58.9640397703414,48.5321356781829,102.486325783446,56.079623456232,60.2715469841836,88.0931960528689,688864
2018-08-06,7028.89,7157.93,6835.06,6936.11,7317.642965,8.84449637761951,48.90999984741211,49.40999984741211,48.81999969482422,49.400001525878906,46.89641189575195,110200,0.0099685836506164,0.665387817508664,1639,198.0,57.0,173.0,274.0,300.0,421.0,81.0,23.0,16.0,1969.0,10.0,1011.0,2868.0,62.6956325144819,54.7903905728594,101.988637610107,61.4529258500087,60.7565068824788,81.7549027562098,654365
2018-08-07,6932.18,7155.0,6671.0,6717.68,10039.39296,8.812498135813566,49.68000030517578,49.79899978637695,49.41999816894531,49.459999084472656,46.9533576965332,128800,0.0012137885006966,0.6655433724771327,1641,222.0,80.0,245.0,282.0,348.0,511.0,112.0,34.0,24.0,2141.0,8.0,1045.0,3336.0,62.9912619259007,56.2994789788954,101.959113575432,54.4559689153015,60.5759323964687,78.3000711517169,706475
2018-08-08,6717.67,6717.68,6121.0,6283.59,14668.56802,8.745696752180123,49.54999923706055,49.599998474121094,49.358001708984375,49.41999816894531,46.91538619995117,114200,-0.0008090800732305,0.6654031511448659,1643,196.0,87.0,187.0,281.0,455.0,513.0,95.0,25.0,26.0,2049.0,8.0,1070.0,3103.0,68.3388365154266,68.4973312387029,102.226360508369,60.4795811691709,62.5387548146578,78.812481986777,649542
2018-08-09,6283.89,6627.0,6190.01,6543.76,9484.886705,8.78626720279342,49.459999084472656,49.8849983215332,49.459999084472656,49.689998626708984,47.17171096801758,306400,0.0054485144674787,0.6395070113431625,1647,196.0,49.0,177.0,238.0,397.0,475.0,96.0,23.0,19.0,1915.0,9.0,1018.0,2864.0,69.1921137795154,70.3579782396771,102.244708439409,61.9276864617542,62.7271409891179,78.8197982599172,629818
2018-08-10,6544.98,6584.05,5995.75,6139.99,14096.00989,8.722578392475366,49.529998779296875,49.529998779296875,49.150001525878906,49.27000045776367,46.77299118041992,177600,-0.0084882921302655,0.6480959320201862,1649,234.0,67.0,195.0,260.0,376.0,456.0,83.0,19.0,19.0,2043.0,8.0,1040.0,3083.0,68.42265287768,74.3775302606058,102.262537727863,63.5098213656917,62.8944535963764,78.2156734761652,658349
